"","Reference","year","month","Season","BAY_SEGMENT","LRScore","PropESScore","PropFacScore","PropMSScore","PropSelectScore","PropTSScore","ESTaxaScore","SelecTaxaScore","Cumul_Score"
"346","TBM2006121001","2006","12","Winter",1,0,5,6,5,2,8,10,10,58
"347","TBM2006121002","2006","12","Winter",1,0,0,8,10,7,4,0,2,39
"348","TBM2006121005","2006","12","Winter",1,0,7,3,3,8,4,7,7,49
"349","TBM2007010302","2007","01","Winter",1,0,9,1,1,4,8,10,8,51
"350","TBM2007010303","2007","01","Winter",1,0,5,4,5,4,8,7,7,50
"351","TBM2007010304","2007","01","Winter",1,1,10,0,0,0,9,10,5,44
"352","TBM2007021001","2007","02","Winter",1,0,6,7,4,4,7,5,3,45
"353","TBM2007021002","2007","02","Winter",1,0,7,3,3,2,8,9,3,44
"354","TBM2007021003","2007","02","Winter",1,10,6,1,5,6,3,10,8,61
"355","TBM2007030802","2007","03","Winter",1,10,3,2,7,3,3,9,5,53
"356","TBM2007030803","2007","03","Winter",1,10,2,0,8,0,1,8,3,40
"357","TBM2007030804","2007","03","Winter",1,0,5,4,5,3,9,6,5,46
"358","TBM2007120401","2007","12","Winter",1,1,4,9,6,7,9,6,3,56
"359","TBM2007120404","2007","12","Winter",1,0,10,0,0,0,10,2,0,28
"360","TBM2007120803","2007","12","Winter",1,0,0,0,0,0,0,0,0,0
"361","TBM2007120806","2007","12","Winter",1,0,3,0,7,10,3,6,8,46
"362","TBM2007120807","2007","12","Winter",1,0,7,0,3,3,8,2,3,33
"363","TBM2008010803","2008","01","Winter",1,0,6,4,4,2,9,5,5,44
"364","TBM2008010804","2008","01","Winter",1,0,2,10,8,2,9,2,3,45
"365","TBM2008010805","2008","01","Winter",1,0,6,0,4,4,7,3,3,34
"366","TBM2008020302","2008","02","Winter",1,0,0,0,0,0,0,0,0,0
"367","TBM2008020303","2008","02","Winter",1,0,3,7,7,0,10,3,0,38
"368","TBM2008020304","2008","02","Winter",1,0,2,10,8,3,8,3,3,46
"369","TBM2008030101","2008","03","Winter",1,0,6,4,4,1,10,5,2,40
"370","TBM2008030103","2008","03","Winter",1,0,7,0,3,0,10,3,0,29
"371","TBM2008030104","2008","03","Winter",1,0,2,0,8,5,6,1,2,30
"372","TBM2008030106","2008","03","Winter",1,0,3,2,7,4,7,4,7,43
"373","TBM2008120603","2008","12","Winter",1,0,3,10,7,0,10,3,0,41
"374","TBM2008121305","2008","12","Winter",1,0,4,8,6,1,9,8,5,51
"375","TBM2008121306","2008","12","Winter",1,0,3,7,7,0,10,1,0,35
"376","TBM2009011201","2009","01","Winter",1,0,1,6,9,7,5,5,10,54
"377","TBM2009011202","2009","01","Winter",1,0,0,10,10,0,10,0,0,38
"378","TBM2009011203","2009","01","Winter",1,0,5,8,5,4,10,3,3,48
"379","TBM2009021201","2009","02","Winter",1,0,2,10,8,1,8,5,3,46
"380","TBM2009021202","2009","02","Winter",1,2,10,0,0,1,10,9,10,53
"381","TBM2009021203","2009","02","Winter",1,0,5,0,5,5,4,5,3,34
"382","TBM2009030802","2009","03","Winter",1,1,0,0,10,0,0,0,0,14
"383","TBM2009030803","2009","03","Winter",1,0,10,0,0,1,9,5,8,41
"384","TBM2009030805","2009","03","Winter",1,0,3,9,7,2,7,3,3,43
"385","TBM2009030806","2009","03","Winter",1,10,1,8,9,0,7,8,3,58
"386","TBM2009030807","2009","03","Winter",1,0,5,0,6,2,5,5,3,33
"387","TBM2009120703","2009","12","Winter",1,0,8,0,2,3,9,10,10,53
"388","TBM2009120706","2009","12","Winter",1,0,7,1,3,1,9,3,3,34
"389","TBM2009120707","2009","12","Winter",1,0,2,9,8,2,9,4,5,49
"390","TBM2009121002","2009","12","Winter",1,0,4,5,6,1,8,9,2,44
"391","TBM2010010202","2010","01","Winter",1,0,2,6,8,0,10,5,0,39
"392","TBM2010010205","2010","01","Winter",1,0,10,0,0,1,10,9,2,40
"393","TBM2010011101","2010","01","Winter",1,0,9,2,1,0,10,2,0,30
"394","TBM2010011104","2010","01","Winter",1,0,8,1,2,2,9,5,8,44
"395","TBM2010011107","2010","01","Winter",1,0,10,0,0,0,10,6,0,33
"396","TBM2010020102","2010","02","Winter",1,0,0,0,10,0,10,0,0,25
"397","TBM2010020103","2010","02","Winter",1,0,5,0,5,7,10,2,3,40
"398","TBM2010020110","2010","02","Winter",1,8,0,0,10,10,10,0,5,54
"399","TBM2010030102","2010","03","Winter",1,1,2,4,8,5,8,3,8,49
"400","TBM2010030103","2010","03","Winter",1,1,0,0,10,10,10,3,10,55
"401","TBM2010030105","2010","03","Winter",1,1,3,6,7,6,8,6,10,59
"402","TBM2010030107","2010","03","Winter",1,5,6,0,4,1,6,3,5,38
"403","TBM2010121001","2010","12","Winter",1,0,2,0,8,8,4,5,5,40
"404","TBM2010121007","2010","12","Winter",1,0,4,1,6,6,9,6,10,53
"405","TBM2010121009","2010","12","Winter",1,0,0,0,9,4,8,2,10,41
"406","TBM2011010606","2011","01","Winter",1,0,5,4,5,0,10,2,0,33
"407","TBM2011010607","2011","01","Winter",1,0,0,5,10,5,6,0,3,36
"408","TBM2011010608","2011","01","Winter",1,0,0,0,10,0,10,0,0,25
"409","TBM2011021201","2011","02","Winter",1,0,8,0,2,4,10,3,3,38
"410","TBM2011021301","2011","02","Winter",1,1,2,6,8,5,6,5,8,51
"411","TBM2011021303","2011","02","Winter",1,0,7,0,3,5,6,1,2,30
"412","TBM2011030304","2011","03","Winter",1,9,1,1,9,0,1,3,0,30
"413","TBM2011030601","2011","03","Winter",1,1,5,1,5,10,5,7,10,55
"414","TBM2011030604","2011","03","Winter",1,0,0,10,10,0,10,0,0,38
"415","TBM2011030607","2011","03","Winter",1,0,7,2,3,5,6,3,5,39
"416","TBM2011120106","2011","12","Winter",1,0,4,5,7,0,6,2,0,30
"417","TBM2011120107","2011","12","Winter",1,0,2,8,8,9,8,2,8,56
"418","TBM2011120108","2011","12","Winter",1,0,0,2,10,10,1,0,6,36
"419","TBM2011121106","2011","12","Winter",1,0,4,9,6,0,10,2,0,39
"420","TBM2012010803","2012","01","Winter",1,0,6,5,4,5,7,6,8,51
"421","TBM2012011004","2012","01","Winter",1,0,5,4,6,8,4,5,5,46
"422","TBM2012011005","2012","01","Winter",1,0,4,4,6,5,6,6,5,45
"423","TBM2012011006","2012","01","Winter",1,0,2,4,8,0,10,3,0,34
"424","TBM2012020807","2012","02","Winter",1,1,5,3,5,7,5,5,6,46
"425","TBM2012020808","2012","02","Winter",1,0,3,4,7,2,8,3,3,38
"426","TBM2012021005","2012","02","Winter",1,0,0,0,10,7,0,0,2,24
"427","TBM2012021006","2012","02","Winter",1,0,7,6,3,7,9,5,5,53
"428","TBM2012030101","2012","03","Winter",1,0,0,0,10,0,10,0,0,25
"429","TBM2012030102","2012","03","Winter",1,0,5,8,6,8,7,5,10,61
"430","TBM2012030103","2012","03","Winter",1,10,8,0,2,10,0,8,5,54
"431","TBM2012121001","2012","12","Winter",1,0,5,1,5,8,6,5,10,50
"432","TBM2012121002","2012","12","Winter",1,0,10,0,0,0,10,10,10,50
"433","TBM2012121003","2012","12","Winter",1,0,9,0,2,4,7,10,8,50
"434","TBM2012121004","2012","12","Winter",1,5,1,0,9,0,0,2,0,21
"435","TBM2013010303","2013","01","Winter",1,0,4,6,6,3,8,2,3,40
"436","TBM2013010306","2013","01","Winter",1,0,5,3,5,4,9,6,5,46
"437","TBM2013010307","2013","01","Winter",1,0,7,6,3,0,3,2,0,26
"438","TBM2013020502","2013","02","Winter",1,5,1,2,9,5,2,3,10,46
"439","TBM2013020503","2013","02","Winter",1,10,1,1,9,5,1,2,10,49
"440","TBM2013020504","2013","02","Winter",1,10,3,0,7,4,0,10,8,53
"441","TBM2013030302","2013","03","Winter",1,0,2,10,8,6,10,2,3,51
"442","TBM2013030306","2013","03","Winter",1,10,2,0,8,2,0,8,3,41
"443","TBM2013030308","2013","03","Winter",1,3,2,1,8,1,5,3,3,33
"444","TBM2013031108","2013","03","Winter",1,0,6,3,4,1,9,3,2,35
"445","TBM2013120204","2013","12","Winter",1,0,1,9,8,2,9,3,5,46
"446","TBM2013121002","2013","12","Winter",1,0,2,8,8,3,9,3,5,48
"447","TBM2013121006","2013","12","Winter",1,0,4,2,7,8,4,8,5,48
"448","TBM2013121007","2013","12","Winter",1,0,2,10,8,10,9,9,5,66
"449","TBM2014010704","2014","01","Winter",1,0,4,4,6,2,9,2,3,38
"450","TBM2014010707","2014","01","Winter",1,0,4,6,6,6,10,3,3,48
"451","TBM2014010709","2014","01","Winter",1,0,8,0,3,2,8,2,3,33
"452","TBM2014021101","2014","02","Winter",1,0,8,3,2,3,1,1,2,25
"453","TBM2014021104","2014","02","Winter",1,0,6,6,4,6,8,5,8,54
"454","TBM2014021105","2014","02","Winter",1,0,5,5,5,2,6,3,3,36
"455","TBM2014021108","2014","02","Winter",1,0,4,10,7,5,8,3,3,50
"456","TBM2014021109","2014","02","Winter",1,0,3,8,7,3,5,3,5,43
"457","TBM2014030905","2014","03","Winter",1,6,2,0,8,1,3,2,3,31
"458","TBM2014031301","2014","03","Winter",1,0,3,6,7,2,8,6,8,50
"459","TBM2014031303","2014","03","Winter",1,10,1,1,9,2,0,6,10,49
"460","TBM2014031305","2014","03","Winter",1,0,5,2,5,10,2,5,5,43
"461","TBM2014121001","2014","12","Winter",1,0,7,5,3,9,6,3,5,48
"462","TBM2014121002","2014","12","Winter",1,0,3,4,7,2,7,3,3,36
"463","TBM2014121006","2014","12","Winter",1,0,2,10,8,0,10,2,0,40
"464","TBM2014121008","2014","12","Winter",1,0,5,7,5,3,10,2,3,44
"465","TBM2015010701","2015","01","Winter",1,0,3,8,7,1,9,6,3,46
"466","TBM2015011301","2015","01","Winter",1,0,0,10,10,0,10,0,0,38
"467","TBM2015011302","2015","01","Winter",1,0,0,0,10,7,4,0,5,33
"468","TBM2015011308","2015","01","Winter",1,3,5,2,5,2,5,5,8,44
"469","TBM2015020307","2015","02","Winter",1,0,3,5,7,3,7,2,3,38
"470","TBM2015020603","2015","02","Winter",1,1,9,0,1,4,7,5,8,44
"471","TBM2015020607","2015","02","Winter",1,1,2,7,8,4,9,2,5,48
"472","TBM2015020609","2015","02","Winter",1,0,5,8,5,0,10,5,0,41
"473","TBM2015031003","2015","03","Winter",1,0,3,4,7,9,7,3,10,54
"474","TBM2015031004","2015","03","Winter",1,0,2,7,9,5,6,3,5,46
"475","TBM2015031007","2015","03","Winter",1,0,4,3,6,3,9,8,10,54
"476","TBM2015120304","2015","12","Winter",1,0,7,5,3,8,6,6,5,50
"477","TBM2015120305","2015","12","Winter",1,0,9,0,1,4,6,10,5,44
"478","TBM2015120307","2015","12","Winter",1,0,7,3,3,4,10,6,8,51
"479","TBM2015120309","2015","12","Winter",1,0,2,5,8,1,10,3,3,40
"480","TBM2005100103","2005","10","Fall",2,4,4,7,7,0,7,2,2,41
"481","TBM2005104408","2005","10","Fall",2,0,6,0,5,7,10,1,2,39
"482","TBM2005104709","2005","10","Fall",2,0,4,0,7,7,6,8,6,48
"483","TBM2005110603","2005","11","Fall",2,0,10,1,1,1,10,4,2,36
"484","TBM2006101002","2006","10","Fall",2,0,3,1,8,10,9,5,6,53
"485","TBM2006101003","2006","10","Fall",2,0,2,6,9,6,10,1,2,45
"486","TBM2006110408","2006","11","Fall",2,0,4,5,7,3,7,5,4,44
"487","TBM2006114501","2006","11","Fall",2,0,1,4,10,3,10,1,2,39
"488","TBM2007101001","2007","10","Fall",2,3,6,1,4,4,6,8,7,49
"489","TBM2007101006","2007","10","Fall",2,0,5,2,6,6,10,4,2,44
"490","TBM2007110404","2007","11","Fall",2,0,9,3,2,0,10,2,2,35
"491","TBM2007110406","2007","11","Fall",2,0,3,2,8,6,4,4,4,39
"492","TBM2007110408","2007","11","Fall",2,1,4,1,7,5,7,7,8,50
"493","TBM2008100503","2008","10","Fall",2,2,5,5,6,2,8,6,6,50
"494","TBM2008100507","2008","10","Fall",2,0,5,0,6,7,9,10,10,59
"495","TBM2008100508","2008","10","Fall",2,0,3,1,8,8,5,10,10,56
"496","TBM2008110301","2008","11","Fall",2,0,8,0,3,2,8,6,2,36
"497","TBM2008110302","2008","11","Fall",2,0,5,5,6,2,10,9,2,49
"498","TBM2009100205","2009","10","Fall",2,0,5,3,6,6,7,2,4,41
"499","TBM2009100206","2009","10","Fall",2,0,0,0,0,0,0,0,0,0
"500","TBM2009100207","2009","10","Fall",2,0,1,0,10,10,10,2,2,44
"501","TBM2009100208","2009","10","Fall",2,10,9,0,2,1,9,5,7,54
"502","TBM2009114305","2009","11","Fall",2,0,0,0,0,0,0,0,0,0
"503","TBM2010104501","2010","10","Fall",2,10,4,0,7,8,4,6,10,61
"504","TBM2010110505","2010","11","Fall",2,1,6,0,5,6,5,8,8,49
"505","TBM2010110506","2010","11","Fall",2,0,8,1,3,3,7,7,8,46
"506","TBM2010110508","2010","11","Fall",2,1,8,1,3,4,8,8,10,54
"507","TBM2011101106","2011","10","Fall",2,7,5,4,6,1,8,7,4,53
"508","TBM2011101107","2011","10","Fall",2,10,8,1,3,1,9,10,8,63
"509","TBM2011101108","2011","10","Fall",2,10,5,2,6,0,5,5,2,44
"510","TBM2011110205","2011","11","Fall",2,1,1,2,10,1,9,4,4,40
"511","TBM2011110209","2011","11","Fall",2,5,8,0,3,2,8,7,6,49
"512","TBM2011110506","2011","11","Fall",2,0,3,0,8,10,10,1,2,43
"513","TBM2012100906","2012","10","Fall",2,1,4,6,7,2,8,3,2,41
"514","TBM2012100907","2012","10","Fall",2,0,1,10,10,4,8,1,6,50
"515","TBM2012100908","2012","10","Fall",2,0,10,0,0,0,10,4,6,38
"516","TBM2012110706","2012","11","Fall",2,0,8,1,3,3,8,3,4,38
"517","TBM2013100506","2013","10","Fall",2,1,10,0,1,1,10,5,6,43
"518","TBM2013110503","2013","11","Fall",2,0,2,4,9,7,2,4,4,40
"519","TBM2013110507","2013","11","Fall",2,1,2,10,9,1,7,4,6,50
"520","TBM2013110508","2013","11","Fall",2,0,1,10,10,1,8,2,3,44
"521","TBM2014101501","2014","10","Fall",2,0,5,4,6,2,10,5,4,45
"522","TBM2014101502","2014","10","Fall",2,0,0,10,10,0,10,0,0,38
"523","TBM2014101503","2014","10","Fall",2,0,5,0,6,6,9,6,6,48
"524","TBM2014110504","2014","11","Fall",2,1,7,0,5,4,7,5,6,44
"525","TBM2014111609","2014","11","Fall",2,0,6,1,5,3,6,5,2,35
"526","TBM2015100302","2015","10","Fall",2,0,2,1,9,10,0,7,8,46
"527","TBM2015100802","2015","10","Fall",2,0,6,3,5,4,7,1,4,38
"528","TBM2015110106","2015","11","Fall",2,0,2,1,8,8,2,2,4,34
"529","TBM2015110107","2015","11","Fall",2,0,9,0,2,3,8,3,4,36
"530","TBM2005041201","2005","04","Spring",2,0,10,0,0,0,10,7,9,45
"531","TBM2005044306","2005","04","Spring",2,0,7,3,3,6,4,7,4,43
"532","TBM2005050102","2005","05","Spring",2,0,8,4,2,0,10,9,8,51
"533","TBM2005050103","2005","05","Spring",2,0,9,3,1,4,8,6,4,44
"534","TBM2005050104","2005","05","Spring",2,0,6,2,4,1,9,4,2,35
"535","TBM2006040902","2006","04","Spring",2,0,10,0,0,1,9,9,4,41
"536","TBM2006050605","2006","05","Spring",2,0,7,3,3,2,9,4,4,40
"537","TBM2006050606","2006","05","Spring",2,0,1,0,9,6,9,0,4,36
"538","TBM2007040501","2007","04","Spring",2,0,7,0,3,7,1,2,2,28
"539","TBM2007040502","2007","04","Spring",2,0,9,0,1,1,9,5,4,36
"540","TBM2007054208","2007","05","Spring",2,1,5,1,5,3,6,7,5,41
"541","TBM2007054209","2007","05","Spring",2,0,9,1,1,1,10,1,8,39
"542","TBM2008044113","2008","04","Spring",2,1,10,0,0,0,10,9,10,50
"543","TBM2008054310","2008","05","Spring",2,0,5,3,5,4,6,5,10,48
"544","TBM2009040701","2009","04","Spring",2,0,8,0,2,1,9,10,6,45
"545","TBM2009040705","2009","04","Spring",2,1,3,5,7,0,7,1,2,33
"546","TBM2009040707","2009","04","Spring",2,0,7,8,3,0,10,4,0,40
"547","TBM2009051101","2009","05","Spring",2,0,2,3,8,6,10,2,4,44
"548","TBM2009051105","2009","05","Spring",2,0,2,6,8,1,9,3,2,39
"549","TBM2009051107","2009","05","Spring",2,0,3,8,7,1,9,4,6,48
"550","TBM2009051108","2009","05","Spring",2,0,3,10,7,1,10,3,2,45
"551","TBM2010040901","2010","04","Spring",2,5,3,0,7,8,9,9,10,64
"552","TBM2010044405","2010","04","Spring",2,0,10,0,0,10,0,0,2,28
"553","TBM2010044409","2010","04","Spring",2,0,6,0,4,7,1,0,2,25
"554","TBM2010050706","2010","05","Spring",2,0,10,0,0,0,9,2,2,29
"555","TBM2010050707","2010","05","Spring",2,1,3,0,7,9,6,7,10,54
"556","TBM2010050708","2010","05","Spring",2,4,9,0,1,1,9,10,10,55
"557","TBM2011040702","2011","04","Spring",2,9,0,0,10,0,0,1,2,28
"558","TBM2011040703","2011","04","Spring",2,0,7,0,3,10,1,1,4,33
"559","TBM2011040708","2011","04","Spring",2,6,7,0,3,1,7,5,6,44
"560","TBM2011051201","2011","05","Spring",2,10,4,0,6,3,2,9,10,55
"561","TBM2011051202","2011","05","Spring",2,10,2,1,8,2,0,5,2,38
"562","TBM2011051208","2011","05","Spring",2,0,10,0,0,0,10,1,0,26
"563","TBM2012041001","2012","04","Spring",2,0,0,0,10,0,10,0,0,25
"564","TBM2012041003","2012","04","Spring",2,0,1,10,9,5,10,0,2,46
"565","TBM2013041206","2013","04","Spring",2,0,8,2,2,1,9,6,4,40
"566","TBM2013050301","2013","05","Spring",2,0,10,0,0,1,10,8,8,46
"567","TBM2013050306","2013","05","Spring",2,0,8,2,2,0,10,5,0,34
"568","TBM2013054203","2013","05","Spring",2,0,4,1,6,6,7,1,8,41
"569","TBM2014040801","2014","04","Spring",2,0,6,4,4,0,10,3,0,34
"570","TBM2014040805","2014","04","Spring",2,0,7,2,3,1,9,4,4,38
"571","TBM2014040806","2014","04","Spring",2,0,9,0,1,10,0,3,6,36
"572","TBM2014051201","2014","05","Spring",2,0,9,0,1,1,10,4,4,36
"573","TBM2014051202","2014","05","Spring",2,0,3,1,7,7,10,5,6,49
"574","TBM2014051207","2014","05","Spring",2,4,4,1,6,3,4,10,8,50
"575","TBM2015040103","2015","04","Spring",2,1,2,10,8,2,7,4,6,50
"576","TBM2015040109","2015","04","Spring",2,10,2,0,8,2,1,10,6,49
"577","TBM2015050906","2015","05","Spring",2,0,0,10,10,0,10,0,0,38
"578","TBM2015050908","2015","05","Spring",2,0,7,3,3,1,10,5,8,46
"579","TBM2015050909","2015","05","Spring",2,0,7,0,3,3,10,2,8,41
"580","TBM2005070306","2005","07","Summer",2,0,3,3,6,4,9,10,7,53
"581","TBM2005080301","2005","08","Summer",2,1,1,10,9,2,7,1,4,44
"582","TBM2005080302","2005","08","Summer",2,0,0,10,10,10,10,0,2,53
"583","TBM2005080303","2005","08","Summer",2,0,8,1,2,1,10,10,10,53
"584","TBM2005080306","2005","08","Summer",2,0,0,0,10,10,10,2,6,48
"585","TBM2005090703","2005","09","Summer",2,0,10,0,0,0,10,3,3,33
"586","TBM2005090705","2005","09","Summer",2,0,4,2,6,6,9,2,7,45
"587","TBM2005090706","2005","09","Summer",2,0,2,1,8,5,9,4,7,45
"588","TBM2006064709","2006","06","Summer",2,0,0,0,10,6,10,1,2,36
"589","TBM2006070901","2006","07","Summer",2,0,5,2,5,4,9,10,10,56
"590","TBM2006070902","2006","07","Summer",2,0,4,6,6,2,10,5,2,44
"591","TBM2006081203","2006","08","Summer",2,0,1,2,9,8,9,6,7,53
"592","TBM2006090805","2006","09","Summer",2,0,2,7,8,2,9,5,5,48
"593","TBM2006090806","2006","09","Summer",2,0,10,0,0,0,10,3,0,29
"594","TBM2006090807","2006","09","Summer",2,0,0,0,10,7,10,0,2,36
"595","TBM2007060702","2007","06","Summer",2,0,4,6,6,5,4,6,7,48
"596","TBM2007060703","2007","06","Summer",2,0,3,9,7,0,10,3,0,40
"597","TBM2007060704","2007","06","Summer",2,0,0,9,10,0,10,0,0,36
"598","TBM2007070401","2007","07","Summer",2,0,3,5,7,4,10,6,7,53
"599","TBM2007080401","2007","08","Summer",2,0,8,4,3,0,6,2,0,29
"600","TBM2007091102","2007","09","Summer",2,0,0,0,10,10,2,0,4,33
"601","TBM2007091105","2007","09","Summer",2,0,3,0,7,7,9,3,4,41
"602","TBM2007091107","2007","09","Summer",2,6,7,0,3,2,7,4,9,48
"603","TBM2007091109","2007","09","Summer",2,0,1,3,9,8,8,4,5,48
"604","TBM2008060505","2008","06","Summer",2,0,8,0,2,1,10,4,3,35
"605","TBM2008070207","2008","07","Summer",2,3,6,0,4,3,5,10,7,48
"606","TBM2008070208","2008","07","Summer",2,0,2,10,8,0,10,6,8,55
"607","TBM2008070210","2008","07","Summer",2,0,9,0,1,1,10,2,6,36
"608","TBM2008081601","2008","08","Summer",2,3,3,4,7,0,3,2,0,28
"609","TBM2008090301","2008","09","Summer",2,0,7,0,3,2,9,8,5,43
"610","TBM2008090309","2008","09","Summer",2,0,3,3,7,5,10,1,3,40
"611","TBM2009060902","2009","06","Summer",2,0,5,4,5,3,10,2,2,39
"612","TBM2009060908","2009","06","Summer",2,1,3,1,7,4,6,3,7,40
"613","TBM2009070502","2009","07","Summer",2,0,10,0,0,0,10,1,0,26
"614","TBM2009070503","2009","07","Summer",2,0,4,0,6,6,8,4,5,41
"615","TBM2009070504","2009","07","Summer",2,0,0,0,10,10,10,2,5,46
"616","TBM2009070509","2009","07","Summer",2,0,1,10,9,2,9,5,7,54
"617","TBM2009080101","2009","08","Summer",2,0,2,4,8,6,10,4,4,48
"618","TBM2009080104","2009","08","Summer",2,1,3,2,4,2,3,3,4,28
"619","TBM2009090405","2009","09","Summer",2,0,5,0,5,5,9,8,6,48
"620","TBM2010061106","2010","06","Summer",2,10,5,1,5,2,3,6,10,53
"621","TBM2010061107","2010","06","Summer",2,0,4,0,6,4,7,1,4,33
"622","TBM2010070602","2010","07","Summer",2,2,1,1,9,8,8,1,5,44
"623","TBM2010070604","2010","07","Summer",2,0,1,0,9,9,8,7,9,54
"624","TBM2010070606","2010","07","Summer",2,10,2,3,8,3,3,4,8,51
"625","TBM2010070608","2010","07","Summer",2,1,2,0,8,8,1,2,5,34
"626","TBM2010081103","2010","08","Summer",2,10,2,1,8,7,8,5,5,58
"627","TBM2010081109","2010","08","Summer",2,10,1,2,9,5,5,10,10,65
"628","TBM2010090205","2010","09","Summer",2,0,9,0,1,2,8,6,9,44
"629","TBM2010094315","2010","09","Summer",2,10,2,1,8,2,0,6,4,41
"630","TBM2011061408","2011","06","Summer",2,6,4,1,6,6,0,3,7,41
"631","TBM2011071101","2011","07","Summer",2,0,1,8,9,5,9,9,10,64
"632","TBM2011080102","2011","08","Summer",2,2,4,0,6,0,1,1,0,18
"633","TBM2011094505","2011","09","Summer",2,3,0,0,10,10,4,2,7,45
"634","TBM2012060908","2012","06","Summer",2,5,2,2,8,1,4,4,2,35
"635","TBM2012060909","2012","06","Summer",2,0,3,6,7,4,5,1,2,35
"636","TBM2012070101","2012","07","Summer",2,0,0,1,10,10,10,0,4,44
"637","TBM2012070108","2012","07","Summer",2,0,7,0,3,2,7,3,3,31
"638","TBM2012080101","2012","08","Summer",2,0,10,0,0,0,10,1,0,26
"639","TBM2012080102","2012","08","Summer",2,1,0,1,10,10,10,0,5,46
"640","TBM2012090501","2012","09","Summer",2,0,4,0,6,7,9,10,9,56
"641","TBM2012090502","2012","09","Summer",2,1,6,1,4,3,9,5,5,43
"642","TBM2013061105","2013","06","Summer",2,0,2,0,8,4,9,6,5,43
"643","TBM2013070801","2013","07","Summer",2,0,2,3,8,8,6,5,10,53
"644","TBM2013070806","2013","07","Summer",2,0,0,0,0,0,0,0,0,0
"645","TBM2013070807","2013","07","Summer",2,0,10,0,0,0,10,1,0,26
"646","TBM2014060903","2014","06","Summer",2,0,6,2,4,3,6,10,7,48
"647","TBM2014060904","2014","06","Summer",2,0,6,2,4,0,9,3,2,33
"648","TBM2014071005","2014","07","Summer",2,0,5,1,5,4,8,3,7,41
"649","TBM2014071007","2014","07","Summer",2,0,6,2,4,3,10,10,7,53
"650","TBM2014080810","2014","08","Summer",2,1,7,0,3,2,8,8,7,45
"651","TBM2014090601","2014","09","Summer",2,1,5,3,5,0,9,4,0,34
"652","TBM2014090603","2014","09","Summer",2,0,2,0,8,8,9,4,5,45
"653","TBM2015061005","2015","06","Summer",2,10,2,1,8,1,3,6,9,50
"654","TBM2015061006","2015","06","Summer",2,2,3,4,7,1,6,4,3,38
"655","TBM2015061007","2015","06","Summer",2,0,3,10,8,0,10,2,0,41
"656","TBM2015070107","2015","07","Summer",2,0,1,2,9,8,8,4,7,49
"657","TBM2015070301","2015","07","Summer",2,0,1,0,9,9,9,6,9,54
"658","TBM2015081307","2015","08","Summer",2,0,10,0,0,3,10,2,2,34
"659","TBM2015081309","2015","08","Summer",2,0,0,0,0,0,0,0,0,0
"660","TBM2015090206","2015","09","Summer",2,0,0,0,0,0,0,0,0,0
"661","TBM2015090207","2015","09","Summer",2,0,0,0,8,8,10,0,2,35
"662","TBM2015090208","2015","09","Summer",2,0,9,0,1,2,10,1,2,31
"663","TBM2005014101","2005","01","Winter",2,0,10,0,0,10,0,2,2,30
"664","TBM2005014110","2005","01","Winter",2,0,0,1,10,10,4,4,8,46
"665","TBM2005020905","2005","02","Winter",2,0,5,6,5,0,10,4,3,41
"666","TBM2005024202","2005","02","Winter",2,0,9,1,1,1,9,7,5,41
"667","TBM2005024701","2005","02","Winter",2,0,9,0,1,1,9,5,10,44
"668","TBM2005031101","2005","03","Winter",2,0,2,1,8,10,0,2,7,38
"669","TBM2005031102","2005","03","Winter",2,0,0,10,10,3,8,5,7,54
"670","TBM2005120901","2005","12","Winter",2,0,10,0,0,0,10,2,0,28
"671","TBM2005120902","2005","12","Winter",2,0,10,0,0,0,10,3,5,35
"672","TBM2006011001","2006","01","Winter",2,0,1,0,9,9,8,7,10,55
"673","TBM2006011005","2006","01","Winter",2,0,10,0,0,10,0,0,2,28
"674","TBM2006011006","2006","01","Winter",2,0,3,5,7,9,3,0,7,43
"675","TBM2006020306","2006","02","Winter",2,0,4,7,7,2,8,8,3,49
"676","TBM2006020307","2006","02","Winter",2,0,6,5,4,8,2,2,3,38
"677","TBM2006034703","2006","03","Winter",2,0,0,7,10,3,7,0,3,38
"678","TBM2006120307","2006","12","Winter",2,0,2,4,8,8,7,2,8,49
"679","TBM2007010603","2007","01","Winter",2,0,5,5,6,0,9,6,2,41
"680","TBM2007010604","2007","01","Winter",2,0,4,1,6,4,5,8,5,41
"681","TBM2007020506","2007","02","Winter",2,0,2,6,8,2,8,2,2,38
"682","TBM2007020508","2007","02","Winter",2,0,2,9,8,7,8,2,5,51
"683","TBM2007030502","2007","03","Winter",2,0,5,5,5,8,2,2,5,40
"684","TBM2007030504","2007","03","Winter",2,0,5,3,5,3,7,7,5,44
"685","TBM2007030505","2007","03","Winter",2,0,9,1,2,2,9,10,5,48
"686","TBM2007030508","2007","03","Winter",2,8,0,2,10,1,0,3,2,33
"687","TBM2007120105","2007","12","Winter",2,0,1,10,10,2,7,2,2,43
"688","TBM2008010501","2008","01","Winter",2,0,3,0,8,9,2,10,8,50
"689","TBM2008020201","2008","02","Winter",2,0,2,4,8,3,6,8,5,45
"690","TBM2008030807","2008","03","Winter",2,10,0,1,10,1,1,7,7,46
"691","TBM2008030808","2008","03","Winter",2,1,2,6,8,2,7,3,5,43
"692","TBM2008120203","2008","12","Winter",2,0,2,10,8,0,9,3,0,40
